Break (Cursor) : Flexure stress at Break (Cursor),"769.11438",MPa
Modulus (Automatic Young's) : Modulus (Automatic Young's),"31220.30931",MPa
Specimen properties : Support span,"125.00000",mm
Specimen properties : Thickness,"4.11000",mm
Specimen properties : Width,"12.86000",mm
Specimen properties : Specimen label,"2A"

Time,Extension,Load,Flexure stress,Flexure strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"27.70000","2.52488","141.97575","122.54366","0.00398"
"27.80000","2.53320","142.04402","122.60258","0.00400"
"27.90000","2.54153","142.66499","123.13857","0.00401"
"28.00000","2.54984","143.23164","123.62766","0.00402"
"28.10000","2.55822","143.33400","123.71600","0.00404"
"28.20000","2.56653","143.91745","124.21960","0.00405"
"28.30000","2.57490","144.56772","124.78087","0.00406"
"28.40000","2.58322","145.06409","125.20930","0.00408"
"28.50000","2.59158","145.47829","125.56681","0.00409"
"28.60000","2.59991","146.23808","126.22261","0.00410"
"28.70000","2.60818","146.53497","126.47887","0.00412"
"28.80000","2.61650","147.07585","126.94572","0.00413"
"28.90000","2.62486","147.41997","127.24273","0.00414"
"29.00000","2.63323","147.95576","127.70519","0.00416"
"29.10000","2.64157","148.05487","127.79073","0.00417"
"29.20000","2.64989","148.96568","128.57689","0.00418"
"29.30000","2.65821","149.31125","128.87515","0.00420"
"29.40000","2.66657","149.79442","129.29219","0.00421"
"29.50000","2.67492","150.17191","129.61801","0.00422"
"29.60000","2.68314","150.67363","130.05107","0.00423"
"29.70000","2.69149","151.40289","130.68051","0.00425"
"29.80000","2.69990","151.43498","130.70822","0.00426"
"29.90000","2.70822","151.93927","131.14348","0.00427"
"30.00000","2.71656","152.32872","131.47963","0.00429"
"30.10000","2.72490","153.10458","132.14931","0.00430"
"30.20000","2.73322","153.33855","132.35124","0.00431"
"30.30000","2.74155","153.91663","132.85020","0.00433"
"30.40000","2.74985","154.22060","133.11256","0.00434"
"30.50000","2.75817","154.73624","133.55763","0.00435"
"30.60000","2.76653","155.57088","134.27803","0.00437"
"30.70000","2.77485","155.65230","134.34831","0.00438"
"30.80000","2.78319","156.34511","134.94630","0.00439"
"30.90000","2.79160","156.57269","135.14273","0.00441"
"31.00000","2.79994","157.06508","135.56772","0.00442"
"31.10000","2.80823","157.63985","136.06383","0.00443"
"31.20000","2.81651","157.91623","136.30238","0.00445"
"31.30000","2.82487","158.18098","136.53090","0.00446"
"31.40000","2.83320","158.96791","137.21011","0.00447"
"31.50000","2.84151","159.53239","137.69734","0.00448"
"31.60000","2.84983","160.06010","138.15283","0.00450"
"31.70000","2.85822","160.53474","138.56250","0.00451"
"31.80000","2.86663","160.79955","138.79106","0.00452"
"31.90000","2.87493","161.39326","139.30351","0.00454"
"32.00000","2.88321","161.80511","139.65900","0.00455"
"32.10000","2.89154","162.23224","140.02766","0.00456"
"32.20000","2.89985","162.66489","140.40109","0.00458"
"32.30000","2.90814","163.12013","140.79404","0.00459"
"32.40000","2.91653","163.66362","141.26314","0.00460"
"32.50000","2.92485","164.04607","141.59323","0.00462"
"32.60000","2.93322","164.61113","142.08096","0.00463"
"32.70000","2.94160","164.85596","142.29227","0.00464"
"32.80000","2.94990","165.57242","142.91068","0.00466"
"32.90000","2.95825","165.97771","143.26050","0.00467"
"33.00000","2.96657","166.42694","143.64824","0.00468"
"33.10000","2.97482","167.06075","144.19530","0.00469"
"33.20000","2.98313","167.42290","144.50787","0.00471"
"33.30000","2.99155","168.13199","145.11992","0.00472"
"33.40000","2.99985","168.33182","145.29239","0.00473"
"33.50000","3.00820","168.90529","145.78738","0.00475"
"33.60000","3.01655","169.63052","146.41335","0.00476"
"33.70000","3.02491","169.89961","146.64561","0.00477"
"33.80000","3.03328","170.24731","146.94572","0.00479"
"33.90000","3.04152","170.61205","147.26053","0.00480"
"34.00000","3.04980","170.91949","147.52589","0.00481"
"34.10000","3.05818","171.62230","148.13251","0.00483"
"34.20000","3.06653","172.10278","148.54723","0.00484"
"34.30000","3.07486","172.45993","148.85550","0.00485"
"34.40000","3.08323","173.02043","149.33928","0.00487"
"34.50000","3.09158","173.72858","149.95050","0.00488"
"34.60000","3.09994","173.92972","150.12411","0.00489"
"34.70000","3.10824","174.58612","150.69067","0.00491"
